algorithm,room_level,room_width,room_height,room_seed,trial,steps,revisits,turns,coverage_percent,overlap_ratio,travel_distance_cm,cleaning_time_sec,reached_target
ZigZag+WallFollow,complex,60,60,50,0,200000,198679,57218,48.9267,0.993395,4e+06,133333,false
RandomWalk,complex,60,60,50,0,200000,198501,9441,55.5144,0.992505,4e+06,133333,false
ZigZag+RandomEscape,complex,60,60,50,0,50869,48438,28070,90.0074,0.952211,1.01738e+06,33912.7,true
RandomWalk,complex,60,60,50,1,200000,198426,10020,58.2902,0.99213,4e+06,133333,false
ZigZag+RandomEscape,complex,60,60,50,1,25451,23020,10874,90.0074,0.904483,509020,16967.3,true
RandomWalk,complex,60,60,50,2,200000,198446,9682,57.55,0.99223,4e+06,133333,false
ZigZag+RandomEscape,complex,60,60,50,2,34726,32295,16199,90.0074,0.929995,694520,23150.7,true
RandomWalk,complex,60,60,50,3,200000,198473,9708,56.5507,0.992365,4e+06,133333,false
ZigZag+RandomEscape,complex,60,60,50,3,29076,26645,14358,90.0074,0.916392,581520,19384,true
RandomWalk,complex,60,60,50,4,200000,198489,9921,55.9585,0.992445,4e+06,133333,false
ZigZag+RandomEscape,complex,60,60,50,4,48681,46250,27310,90.0074,0.950063,973620,32454,true
